Teff_kK	M	O global	12log_O_global	Clobal	12log_C_global	N global	12log_N_global
50	1	0.000350	8.543853	0.000704	8.847880	0.000150	8.176273
50	2	0.000680	8.832602	0.001395	9.144599	0.000294	8.468644
50	3	0.000998	8.999175	0.002082	9.318400	0.000435	8.638634
50	5	0.001593	9.202267	0.003422	9.534339	0.000705	8.848054
50	10	0.002899	9.462291	0.006632	9.821642	0.001327	9.122925
50	20	0.004935	9.693298	0.012466	10.095742	0.002409	9.381756
50	30	0.006565	9.817249	0.017761	10.249469	0.003369	9.527483
50	100	0.014293	10.155128	0.041510	10.618151	0.008215	9.914595
60	1	0.000373	8.571788	0.000688	8.837872	0.000145	8.161544
60	2	0.000732	8.864482	0.001380	9.139943	0.000289	8.460395
60	3	0.001084	9.034985	0.002076	9.317311	0.000432	8.634987
60	5	0.001760	9.245565	0.003450	9.537828	0.000710	8.850955
60	10	0.003336	9.523194	0.006790	9.831901	0.001369	9.136459
60	20	0.006125	9.787072	0.013069	10.116253	0.002579	9.411514
60	30	0.008641	9.936561	0.019050	10.279900	0.003727	9.571414
60	100	0.020757	10.317169	0.049220	10.692145	0.009871	9.994365
70	1	0.000377	8.576736	0.000661	8.819970	0.000137	8.135181
70	2	0.000742	8.870586	0.001339	9.126811	0.000275	8.439585
70	3	0.001102	9.042000	0.002028	9.307152	0.000415	8.617791
70	5	0.001797	9.254552	0.003398	9.531193	0.000689	8.838416
70	10	0.003441	9.536688	0.006758	9.829797	0.001350	9.130490
70	20	0.006426	9.807917	0.013150	10.118934	0.002583	9.412109
70	30	0.009258	9.966524	0.019331	10.286243	0.003787	9.578303
70	100	0.023813	10.376820	0.052464	10.719859	0.010579	10.024432
80	1	0.000378	8.577464	0.000620	8.792396	0.000125	8.095252
80	2	0.000745	8.872002	0.001271	9.104284	0.000254	8.405159
80	3	0.001107	9.044153	0.001942	9.288247	0.000387	8.587430
80	5	0.001810	9.257711	0.003289	9.517056	0.000651	8.813428
80	10	0.003488	9.542614	0.006615	9.820535	0.001295	9.112145
80	20	0.006595	9.819201	0.012993	10.113697	0.002512	9.400036
80	30	0.009621	9.983238	0.019205	10.283407	0.003720	9.570574
80	100	0.026212	10.418498	0.053622	10.729341	0.010830	10.034643
90	1	0.000370	8.568595	0.000592	8.772255	0.000116	8.063240
90	2	0.000730	8.863425	0.001220	9.086214	0.000237	8.375515
90	3	0.001086	9.035672	0.001871	9.272097	0.000363	8.559863
90	5	0.001777	9.249579	0.003189	9.503688	0.000615	8.789085
90	10	0.003428	9.535004	0.006472	9.811021	0.001237	9.092448
90	20	0.006524	9.814498	0.012799	10.107192	0.002430	9.385524
90	30	0.009552	9.980099	0.019005	10.278872	0.003615	9.558147
90	100	0.027096	10.432908	0.054159	10.733671	0.010874	10.036377
100	1	0.000346	8.539020	0.000568	8.754417	0.000109	8.037928
100	2	0.000683	8.834549	0.001169	9.067860	0.000224	8.349449
100	3	0.001016	9.006923	0.001795	9.253966	0.000342	8.533753
100	5	0.001663	9.220987	0.003065	9.486421	0.000580	8.763511
100	10	0.003214	9.507065	0.006262	9.796702	0.001173	9.069294
100	20	0.006135	9.787830	0.012465	10.095686	0.002317	9.364915
100	30	0.009010	9.954707	0.018564	10.268678	0.003461	9.539155
100	100	0.025923	10.413691	0.053258	10.726382	0.010557	10.023549
110	1	0.000351	8.545456	0.000558	8.746953	0.000106	8.025228
110	2	0.000693	8.840700	0.001151	9.061171	0.000218	8.337508
110	3	0.001031	9.013469	0.001771	9.248121	0.000333	8.522890
110	5	0.001690	9.227985	0.003036	9.482241	0.000568	8.754573
110	10	0.003272	9.514807	0.006221	9.793891	0.001155	9.062728
110	20	0.006275	9.797595	0.012418	10.094065	0.002299	9.361567
110	30	0.009234	9.965382	0.018525	10.267765	0.003445	9.537250
110	100	0.026904	10.429815	0.053501	10.728358	0.010604	10.025479
